num,rifugio_nome,codice_comune_catastale,nome_comune_catastale,codice_part_ed,codice_part_f,note
1,"Alpe Pozza - ""V.Lancia""",404,TRAMBILENO,.690,-999,
2,"Altissimo - ""D.Chiesa""",44,BRENTONICO,.1367,-999,
3,Antermoia,223,MAZZIN,.329,-999,
4,"Bindesi - ""P.Prati""",439,VILLAZZANO,.894,-999,
5,"Bocca di Trat - ""N.Pernici""",307,RIVA,.1886,185/2,
6,Boè,66,CANAZEI,.524,-999,
7,"Carè Alto - ""D.Ongari""",271,PELUGO,.681,-999,
8,"Casarota  ""L.Ciola""",94,CENTA,.325,793,
9,"Cevedale - ""G.Larcher""",109,COGOLO,.341,1752/5,
10,Ciampediè,429,VIGO DI FASSA,.456,1983/1,
11,"Cima d'Asta - ""O.Brentari""",278,PIEVE TESINO,.1300,5143/3,
12,XII Apostoli - “F.lli Garbari”,364,STENICO II,.5,-999,
13,“F.F.Tuckett” e “Q.Sella”,302,RAGOLI II,.17,-999,".18 è SELLA, .17 è TUCKETT"
14,"Finonchio - ""F.lli Filzi""",256,NORIGLIO,.399,4335/2,
15,"Grostè - ""G.Graffer""",302,RAGOLI II,.51/1,-999,
16,"Mandron - ""Città di Trento""",247,MORTASO II,.8,-999,
17,"Monte Calino - “San Pietro""",440,VILLE DEL MONTE,.141/6,656/2,
18,"Monzoni - ""T.Taramelli""",286,POZZA,.488,-999,
19,Paludei,94,CENTA,.315,14/2,
20,Peller,106,CLES,.1263,4268/3,
21,Roda di Vael,429,VIGO DI FASSA,.457,1976/2,
22,"Rosetta - ""G.Pedrotti""",353,SIROR,.918,-999,
23,"Saent - ""S.Dorigoni""",300,RABBI,5239/2,5239/2,"particella ed .1339 non viene trovata, il 5239/2 è un edificio secondario sempre del rifugio"
24,Sette Selle,263,PALU',.598,-999,
25,"Spruggio - ""G.Tonini""",-999,-999,-999,-999,"non esiste piu"
26,"Stavel - ""F.Denza""",420,VERMIGLIO,.887,-999,
27,"Stivo - ""P.Marchetti""",258,OLTRESARCA,.738,-999,
28,"Tosa e ""T.Pedrotti""",331,SAN LORENZO,.701,4980/2,
29,Vaiolet,272,PERA,.313,-999,
30,"Val d'Ambiez - ""S.Agostini""",331,SAN LORENZO,.733,-999,
31,"Val d'Amola - ""G.Segantini""",165,GIUSTINO II,.145,2108/3,
32,Val di Fumo,125,DAONE,.813,-999,
33,Velo Madonna,353,SIROR,1918/4,1918/4,part frazionaria (f) non ha il punto davanti
34,Vioz,269,PEIO,.548,-999,
