rifugio_nome,categoria_CAISAT,categoria_PAT,quota,posti_letto
"Alpe Pozza - ""V.Lancia""",C ,Alp,1.802,50
"Altissimo - ""D.Chiesa""",C ,Alp,2.060,35
Antermoia,D,Alp,2.496,61
"Bindesi - ""P.Prati""",A,Escurs,611,no
"Bocca di Trat - ""N.Pernici""",C ,Alp,1.600,28
Boè,D,Alp,2.873,80
"Carè Alto - ""D.Ongari""",D,Alp,2.450,74
"Casarota  ""L.Ciola""",C ,Alp,1.572,32
"Cevedale - ""G.Larcher""",D,Alp,2.607,88
Ciampediè,B,Alp,1.998,25
"Cima d'Asta - ""O.Brentari""",D,Alp,2.473,57
XII Apostoli - “F.lli Garbari”,D,Alp,2.489,38
“F.F.Tuckett” e “Q.Sella”,D,Alp,2.271,132
"Finonchio - ""F.lli Filzi""",C ,Alp,1.588,16
"Grostè - ""G.Graffer""",C ,Alp,2.261,70
"Mandron - ""Città di Trento""",D,Alp,2.449,89
"Monte Calino - “San Pietro""",A,Escurs,976,16
"Monzoni - ""T.Taramelli""",C ,Alp,2.046,16
Paludei,A,Escurs,1.059,14
Peller,C ,Alp,1.990,33
Roda di Vael,C ,Alp,2.283,60
"Rosetta - ""G.Pedrotti""",C ,Alp,2.578,78
"Saent - ""S.Dorigoni""",D,Alp,2.436,80
Sette Selle,D,Alp,1.978,25
"Spruggio - ""G.Tonini""",C ,Alp,1.900,25
"Stavel - ""F.Denza""",D,Alp,2.298,80
"Stivo - ""P.Marchetti""",C ,Alp,2.012,20
"Tosa e ""T.Pedrotti""",D,Alp,2.491,140
Vaiolet,C ,Alp,2.243,131
"Val d'Ambiez - ""S.Agostini""",D,Alp,2.410,66
"Val d'Amola - ""G.Segantini""",D,Alp,2.373,54
Val di Fumo,D,Alp,1.918,56
Velo Madonna,D,Alp,2.333,62
Vioz,E,Alp,3.535,60
