,rifugio,,1995,1996,1997,giugno,luglio,agosto ,settembre,ottobre,1998,soci,n.s.,soci,n.s.,giugno,,luglio,,agosto,,settembre,,ottobre,,1999,soci,n.s.,soci,n.s.,giugno,,luglio,30,agosto,,settembre,,ottobre,,,,potenziali,su posti letto,2000,soci,n.s.,soci,n.s.,giugno,,luglio,,agosto,,settembre,,ottobre,,rifugio,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,"Alpe Pozza ""V.Lancia""",451,365,691,504,75,132,203,80,14,419,180,239,"42,96%","57,04%",16,37,33,105,66,88,65,9,,,466,159,307,"34,12%","65,88%",75,27,19,84,30,121,13,58,22,17,64,90,5760,"5,85%",337,150,187,"44,51%","55,49%",2,9,89,52,41,76,18,50,,,"Alpe Pozza ""V.Lancia""",409,581,352,713,793,971,915,949,1039,871,1195,911,999,983,1269,934,1002,1308,1147,526,,1084
,"Altissimo ""D.Chiesa""",0,124,170,138,15,24,80,12,7,140,101,39,"72,14%","27,86%",10,,40,9,44,22,7,8,,,226,141,85,"62,39%","37,61%",3,,82,31,54,30,2,24,,,35,90,3150,"2,03%",64,47,17,"73,44%","26,56%",11,0,19,5,5,12,12,0,,,"Altissimo ""D.Chiesa""",203,353,1165,874,213,593,518,317,583,423,,533,518,635,812,975,688,425,464,210,,401
,Antermoia,2205,2252,2119,2199,51,674,948,526,,2258,1303,955,"57,71%","42,29%",89,,426,377,536,431,252,147,,,2055,1205,850,"58,64%","41,36%",85,20,388,279,500,390,232,161,,,44,90,3960,"58,06%",2299,1372,927,"59,68%","40,32%",73,65,460,292,532,382,307,188,,,Antermoia,1973,2000,2211,2051,2074,1959,2073,1900,1710,2013,2304,2232,2037,178,535,2817,3045,3417,4249,2463,,4002
,"Bindesi ""P.Prati""",0,0,0,0,0,0,0,0,,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,4,90,360,"0,00%",0,0,0,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,,,"Bindesi ""P.Prati""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,0
,"Bocca di Trat ""N.Pernici""",84,80,91,56,0,0,18,6,32,70,70,0,"100,00%","0,00%",,,10,,17,,9,,34,,160,160,0,"100,00%","0,00%",11,0,34,0,52,0,42,0,21,0,30,90,2700,"5,15%",139,139,0,"100,00%","0,00%",21,0,78,0,21,0,19,0,,,"Bocca di Trat ""N.Pernici""",94,182,318,397,385,345,255,317,123,28,257,162,280,186,392,465,583,718,692,335,,470
,Boè,2373,2126,1406,1983,44,536,908,495,,2532,1809,723,"71,45%","28,55%",30,57,403,258,607,258,769,150,,,1916,1393,523,"72,70%","27,30%",45,7,339,205,502,217,501,94,6,,69,90,6210,"52,61%",3267,2643,624,"80,90%","19,10%",74,18,695,249,843,214,1024,143,7,,Boè,1891,1764,2263,2035,2567,2101,2482,2299,2181,2094,2120,2263,1923,1482,2390,2335,2410,2111,2248,0,,3174
,"Carè Alto ""D.Ongari""",2540,2194,2027,2001,67,706,964,264,,2190,1963,227,"89,63%","10,37%",155,18,730,70,837,130,241,9,,,1093,1021,72,"93,41%","6,59%",39,2,669,17,223,43,90,10,,,85,90,7650,"19,02%",1455,1312,143,"90,17%","9,83%",101,0,591,39,426,60,194,44,,,"Carè Alto ""D.Ongari""",1324,1516,1841,1423,1385,912,1200,939,686,1160,761,1344,867,977,1077,1071,1074,1146,1218,727,,1174
,Casarota,285,315,372,247,41,63,130,13,,341,274,67,"80,35%","19,65%",42,,175,10,18,57,39,,,,239,109,130,"45,61%","54,39%",4,6,74,90,2,18,6,16,23,,38,90,3420,"0,00%",0,0,0,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,,,Casarota,228,126,440,177,136,280,63,145,132,105,65,66,54,50,210,178,363,156,190,73,,102
,"Cevedale ""G.Larcher""",1185,1821,1760,1528,14,424,802,288,,1129,920,209,"81,49%","18,51%",42,,390,87,430,113,58,9,,,1192,914,278,"76,68%","23,32%",22,3,449,100,368,143,75,32,,,80,90,7200,"19,10%",1375,1121,254,"81,53%","18,47%",55,6,361,77,548,137,157,34,,,"Cevedale ""G.Larcher""",1170,1056,1217,1112,1000,975,1004,906,,1022,1172,1148,931,786,940,1320,1242,945,1266,595,,1027
,Ciampediè,950,915,976,791,11,272,388,120,,779,381,398,"48,91%","51,09%",1,6,86,138,245,201,49,53,,,647,295,352,"45,60%","54,40%",6,18,73,120,153,145,60,68,3,1,25,90,2250,"29,69%",668,341,327,"51,05%","48,95%",12,12,120,64,151,177,56,74,2,,Ciampediè,845,682,619,803,692,741,738,756,748,902,762,684,718,722,638,703,677,547,413,133,,216
,"Cima d'Asta ""O.Brentari""",896,785,659,860,58,210,409,153,30,908,546,362,"60,13%","39,87%",55,7,140,142,280,171,71,42,,,684,458,226,"66,96%","33,04%",55,5,174,71,131,86,98,64,,,56,90,5040,"18,04%",909,649,260,"71,40%","28,60%",62,10,231,65,222,147,134,38,,,"Cima d'Asta ""O.Brentari""",597,548,714,416,529,705,656,712,693,784,995,1079,973,1016,1443,1528,1559,1745,1780,1418,,1990
,"Finonchio ""F.lli Filzi""",0,17,11, ,,,,,,47,34,13,"72,34%","27,66%",,,,,29,13,5,,,,8,0,8,"0,00%","100,00%",0,0,0,0,0,8,,,,,16,90,1440,"0,97%",14,4,10,"28,57%","71,43%",0,6,0,0,4,3,0,1,,,"Finonchio ""F.lli Filzi""",20,0,0,0,0,0,0,0,0,0,0,0,0,10,7,15,4,15,11,0,,52
,"Grostè ""G.Graffer""",2091,2030,1894,1463,26,613,591,233,,1712,1457,255,"85,11%","14,89%",64,11,608,121,494,99,291,24,,,1682,1490,192,"88,59%","11,41%",115,21,602,73,551,83,222,15,,,70,90,6300,"27,84%",1754,1366,388,"77,88%","22,12%",95,10,438,142,406,212,427,24,,,"Grostè ""G.Graffer""",2212,2517,2758,1903,1883,1633,1253,1744,1923,1919,2620,2810,3112,2521,1700,1732,2728,3415,2525,1691,,2030
,"Mandron ""Città di Trento""",1810,1736,1487,1808,70,511,785,442,,2026,1817,209,"89,68%","10,32%",92,3,604,90,855,104,266,12,,,1374,1165,209,"84,79%","15,21%",65,6,439,100,456,94,205,9,,,100,90,9000,"24,04%",2164,1997,167,"92,28%","7,72%",128,8,803,75,727,63,339,21,,,"Mandron ""Città di Trento""",1842,1851,2119,1912,2339,1995,1746,1735,1499,1576,1769,1825,1711,1615,1770,1693,1843,2061,1672,875,,1473
,"Monte Calino ""San Pietro""",71,38,0,67,,,,,,18,3,15,"16,67%","83,33%",,,2,,,14,1,1,,,22,0,22,"0,00%","100,00%",0,0,0,6,0,10,0,6,,,18,90,1620,"1,85%",30,4,26,"13,33%","86,67%",0,0,2,4,0,22,2,0,,,"Monte Calino ""San Pietro""",100,50,,62,68,43,23,24,32,38,62,,79,42,83,227,276,461,410,95,,45
,"Monzoni ""T.Taramelli""",146,0,313,225,12,71,125,17,,188,142,46,"75,53%","24,47%",,,48,32,64,14,30,,,,206,160,46,"77,67%","22,33%",26,,33,22,88,21,13,3,,,16,90,1440,"7,01%",101,91,10,"90,10%","9,90%",12,0,39,0,28,6,12,4,,,"Monzoni ""T.Taramelli""",97,87,,27,122,135,102,145,140,185,124,147,163,145,178,265,341,382,341,159,,282
,Paludei,0,0,0,0,0,0,0,0,,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,83,61,22,"73,49%","26,51%",49,12,12,10,,,,,,,16,90,1440,"7,08%",102,22,80,"21,57%","78,43%",0,6,18,17,4,21,0,36,,,Paludei,163,120,167,111,147,73,31,0,0,0,0,50,55,0,195,209,221,80,158,237,,367
,Peller,0,145,204,250,3,48,144,55,,255,134,121,"52,55%","47,45%",,,47,11,52,92,35,18,,,312,0,312,"0,00%","100,00%",,12,,84,,151,,65,,,33,90,2970,"15,05%",447,339,108,"75,84%","24,16%",10,9,140,76,99,13,90,10,,,Peller,306,353,610,298,295,435,179,147,257,229,306,321,303,408,615,388,484,454,522,218,,464
,Roda di Vael,1022,1065,1108,941,48,335,428,130,,1182,974,208,"82,40%","17,60%",68,25,277,59,511,107,118,17,,,1343,1176,167,"87,57%","12,43%",80,18,464,68,460,74,172,7,,,50,90,4500,"29,49%",1327,1011,316,"76,19%","23,81%",48,42,251,95,414,109,298,70,,,Roda di Vael,1694,1662,1520,935,1572,2636,2693,2414,2728,3166,3447,3537,3537,3257,3353,3479,3870,3880,3728,2095,,3591
