rifugio,categoria_CAISAT,categoria_PAT,quota,posti_letto,cogeneratore,generatore,potenza_gruppoel_kw,riserva,fotovoltaico,potenza_fotov_kw,accumulo_fotov_V,accumulo_fotov_ah,idroelettrico,potenza_idro_kw,rete_elettrica,gas_gpl,solare_termico,riscaldamento,note
"Alpe Pozza - ""V.Lancia""",C ,Alp,1.802,50,0,1,40,1,1,1.800,24,1500,0,0,0,1,0,gasolio,
"Altissimo - ""D.Chiesa""",C ,Alp,2.060,35,0,1,20,1,1,2.500,48,1000,0,0,0,1,0,-999,
Antermoia,D,Alp,2.496,61,1,0,60,1,1,1.400,24,1580,0,0,0,1,0,gasolio,
"Bindesi - ""P.Prati""",A,Escurs.,611,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-999,
"Bocca di Trat - ""N.Pernici""",C ,Alp,1.600,28,0,1,40,1,1,1.200,24,1200,0,0,0,1,0,-999,
Boè,D,Alp,2.873,80,0,0,0,1,0,0,0,0,0,0,1,1,1,gasolio,previsto allaccio alla rete elettrica nel 2022 ed eliminazione gas_gpl
"Carè Alto - ""D.Ongari""",D,Alp,2.450,74,0,0,0,1,0,0,0,0,1,25,0,0,0,elettrico,
"Casarota  ""L.Ciola""",C ,Alp,1.572,32,0,1,20,0,1,1.000,24,840,0,0,0,1,0,-999,
"Cevedale - ""G.Larcher""",D,Alp,2.607,88,1,0,40,1,0,0,0,0,0,0,0,1,0,gasolio,Allo studio fattibilità di centrale idroelettrica
Ciampediè,B,Alp,1.998,25,0,0,0,1,0,0,0,0,0,0,1,1,0,-999,
"Cima d'Asta - ""O.Brentari""",D,Alp,2.473,57,0,0,0,1,0,0,0,0,1,7,0,1,0,-999,in futuro previsto aumento di potenza idroelettrico
1II Apostoli - “F.lli Garbari”,D,Alp,2.489,38,0,1,25,1,1,1.300,24,1400,0,0,0,1,0,-999,
“F.F.Tuckett” e “Q.Sella”,D,Alp,2.271,132,1,0,60+60,1,1,0,0,0,0,0,0,1,0,-999,
"Finonchio - ""F.lli Filzi""",C ,Alp,1.588,16,0,0,0,1,0,0,0,0,0,0,1,1,0,-999,
"Grostè - ""G.Graffer""",C ,Alp,2.261,70,0,0,0,1,0,0,0,0,0,0,1,1,0,gasolio,
"Mandron - ""Città di Trento""",D,Alp,2.449,89,0,0,0,1,0,0,0,0,1,25,0,1,0,elettrico,
"Monte Calino - “San Pietro""",A,Escurs.,976,16,0,0,0,0,0,0,0,0,0,0,1,1,1,-999,
"Monzoni - ""T.Taramelli""",C ,Alp,2.046,16,0,0,0,1,0,0,0,0,1,6,0,1,0,elettrico,
Paludei,A,Escurs.,1.059,14,0,0,0,1,0,0,0,0,0,0,1,1,0,-999,
Peller,C ,Alp,1.990,33,1,0,40,1,1,3.200,24,1200,0,0,0,1,1,-999,
Roda di Vael,C ,Alp,2.283,60,1,0,60,1,1,1.400,24,1400,0,0,0,1,0,-999,
"Rosetta - ""G.Pedrotti""",C ,Alp,2.578,78,1,0,40,1,0,0,0,0,0,0,0,1,0,elettrico,
"Saent - ""S.Dorigoni""",D,Alp,2.436,80,0,0,0,1,0,0,0,0,1,40,0,0,0,elettrico,
Sette Selle,D,Alp,1.978,25,0,0,0,1,1,1.500,24,1000,1,25,0,1,0,elettrico,
"Spruggio - ""G.Tonini""",C ,Alp,1.900,25,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,In attesa di ricostruzione
"Stavel - ""F.Denza""",D,Alp,2.298,80,0,0,0,1,0,0,0,0,1,8,0,1,0,-999,in futuro previsto aumento di potenza idroelettrico
"Stivo - ""P.Marchetti""",C ,Alp,2.012,20,0,1,25,1,1,4.200,24,1500,0,0,0,1,1,gasolio,
"Tosa e ""T.Pedrotti""",D,Alp,2.491,140,1,0,40+40,1,0,0,0,0,0,0,0,1,0,-999,
Vaiolet,C ,Alp,2.243,131,0,0,0,1,0,0,0,0,0,0,1,1,0,gasolio,
"Val d'Ambiez - ""S.Agostini""",D,Alp,2.410,66,0,1,40,1,1,800,24,1200,0,0,0,1,0,-999,
"Val d'Amola - ""G.Segantini""",D,Alp,2.373,54,0,0,0,1,0,0,0,0,1,30,0,1,0,-999,Progetto per idroelettrico a 20 KW in approvazione
Val di Fumo,D,Alp,1.918,56,0,0,0,1,0,0,0,0,1,8,0,1,0,-999,
Velo Madonna,D,Alp,2.333,62,0,1,20,1,1,1.300,24,1200,0,0,0,1,0,-999,
Vioz,E,Alp,3.535,60,1,0,40+40,1,0,0,0,0,0,0,0,1,0,-999,
