standard_name,TOPSIS_equal,TOPSIS_entropy,TOPSIS_critic,TOPSIS_custom,VIKOR_equal,VIKOR_entropy,VIKOR_critic,VIKOR_custom,PROMETHEE_II_equal,PROMETHEE_II_entropy,PROMETHEE_II_critic,PROMETHEE_II_custom
alpepozzavlancia,0.338,0.337,0.357,0.464,0.844,0.385,0.771,0.496,-0.004,0.023,-0.01,0.009
altissimodchiesa,0.425,0.379,0.41,0.514,0.711,0.502,0.676,0.389,0.009,0.03,0.001,0.025
antermoia,0.331,0.258,0.363,0.398,0.844,0.68,0.77,0.52,-0.004,-0.026,-0.009,-0.022
bindesipprati,0.519,0.5,0.596,0.57,0.545,0.502,0.016,0.352,0.02,0.049,0.035,0.047
boccaditratnpernici,0.366,0.38,0.382,0.478,0.792,0.514,0.728,0.461,0.001,0.035,-0.003,0.015
boè,0.358,0.263,0.352,0.444,0.786,0.851,0.802,0.357,0.005,-0.029,-0.004,-0.003
carèaltodongari,0.404,0.376,0.441,0.608,0.769,0.706,0.689,0.178,-0.003,-0.013,0.002,0.047
casarotalciola,0.409,0.377,0.454,0.502,0.74,0.519,0.66,0.414,0.005,0.011,0.009,0.022
cevedaleglarcher,0.206,0.257,0.201,0.279,1.0,0.57,1.0,0.952,-0.026,-0.026,-0.037,-0.072
ciampediè,0.515,0.5,0.596,0.556,0.555,0.5,0.023,0.396,0.018,0.049,0.034,0.044
cimadastaobrentari,0.36,0.311,0.412,0.471,0.816,0.739,0.73,0.31,-0.009,-0.052,-0.004,0.001
fftucketteqsella,0.365,0.272,0.409,0.34,0.805,0.325,0.728,0.61,0.009,0.045,0.003,-0.046
finonchiofllifilzi,0.402,0.5,0.429,0.526,0.764,0.509,0.69,0.472,-0.006,0.049,-0.001,0.033
grostèggraffer,0.547,0.5,0.562,0.528,0.5,0.5,0.121,0.384,0.017,0.014,0.018,0.024
mandroncittàditrento,0.428,0.375,0.506,0.491,0.697,0.723,0.286,0.266,0.008,-0.015,0.021,0.008
montecalinosanpietro,0.542,0.427,0.607,0.657,0.509,0.653,0.0,0.083,0.028,-0.007,0.038,0.08
monzonittaramelli,0.349,0.373,0.367,0.448,0.818,0.735,0.749,0.335,-0.012,-0.029,-0.012,-0.006
paludei,0.519,0.5,0.596,0.57,0.545,0.502,0.016,0.352,0.02,0.049,0.035,0.047
peller,0.41,0.382,0.415,0.53,0.736,0.408,0.682,0.283,0.01,0.054,0.003,0.035
rodadivael,0.479,0.439,0.553,0.579,0.116,0.382,0.214,0.32,0.027,0.09,0.035,0.058
rosettagpedrotti,0.323,0.344,0.341,0.2,0.846,0.384,0.841,0.94,-0.002,0.053,-0.009,-0.096
saentsdorigoni,0.34,0.38,0.323,0.565,0.874,0.55,0.892,0.272,-0.009,0.029,-0.019,0.035
setteselle,0.366,0.425,0.355,0.552,0.815,0.654,0.834,0.211,-0.001,0.024,-0.007,0.046
stavelfdenza,0.38,0.373,0.431,0.548,0.79,0.733,0.703,0.251,-0.006,-0.027,0.001,0.04
stivopmarchetti,0.348,0.13,0.342,0.304,0.84,1.0,0.788,0.89,-0.004,-0.053,-0.017,-0.052
tosaetpedrotti,0.33,0.308,0.386,0.416,0.89,0.861,0.795,0.808,-0.013,-0.019,-0.01,-0.02
vaiolet,0.311,0.251,0.351,0.375,0.872,0.886,0.79,0.603,-0.023,-0.099,-0.021,-0.035
valdambiezsagostini,0.405,0.461,0.392,0.331,0.744,0.48,0.71,0.595,-0.001,-0.005,-0.007,-0.053
valdamolagsegantini,0.361,0.312,0.412,0.471,0.814,0.802,0.729,0.31,-0.009,-0.047,-0.004,0.002
valdifumo,0.269,0.31,0.259,0.417,0.926,0.794,0.935,0.407,-0.023,-0.063,-0.029,-0.014
velomadonna,0.359,0.255,0.406,0.339,0.82,0.666,0.737,0.616,-0.003,-0.041,-0.003,-0.05
vioz,0.217,0.134,0.237,0.175,0.982,0.994,0.969,1.0,-0.015,-0.015,-0.026,-0.1
xiiapostoliflligarbari,0.359,0.255,0.406,0.339,0.82,0.617,0.737,0.616,-0.002,-0.036,-0.002,-0.05
